a52dec 0.7.4-8
aalib 1.4rc5-11
abs 2.4.4-2
accerciser 3.14.0-3
accountsservice 0.6.40-2
acl 2.2.52-2
acpid 2.0.27-1
adwaita-icon-theme 3.20-1
aisleriot 3.20.1-1
akonadi 16.04.0-1
akonadi-calendar 16.04.0-1
akonadi-contact 16.04.0-1
akonadi-mime 16.04.0-1
akonadi-notes 16.04.0-1
akonadi-search 16.04.0-1
akonadi-socialutils 16.04.0-1
akonadiconsole 16.04.0-2
akregator 16.04.0-2
alienarena 7.66-2
alienarena-data 7.66-1
alsa-lib 1.1.1-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.1-1
analitza 16.04.0-1
anjuta 3.20.0-1
apache 2.4.20-1
apache-ant 1.9.7-1
apr 1.5.2-1
apr-util 1.5.4-2
arb 2.8.1-1
arch-install-scripts 15-1
archiso 25-1
archlinux-keyring 20160402-1
aria2 1.22.0-1
ark 16.04.0-1
arpack 3.3.0-1
artikulate 16.04.0-1
asciidoc 8.6.9-2
aspell 0.60.6.1-4
at-spi2-atk 2.20.1-1
at-spi2-core 2.20.1-1
atk 2.20.0-1
atkmm 2.24.2-2
atlas-lapack-base 3.10.2-3
atomix 3.20.0-1
attica-qt4 0.4.2-3
attica-qt5 5.21.0-1
attr 2.4.47-1
augeas 1.4.0-1
autoconf 2.69-2
autogen 5.18.7-1
automake 1.15-1
avahi 0.6.32-2
avidemux-cli 2.5.6-14
avogadro 1.1.1-8
babl 0.1.14-1
baloo 5.21.0-1
baloo-widgets 16.04.0-1
bamf 0.5.1-1
baobab 3.20.1-1
bash 4.3.042-4
bbswitch 0.8-46
bc 1.06.95-1
bijiben 3.20.0-1
bin86 0.16.21-1
bind-tools 9.10.3.P4-1
binutils 2.26-3
bison 3.0.4-1
blinken 16.04.0-1
blogilo 16.04.0-2
bluedevil 1:5.6.3-1
bluefish 2.2.8-1
bluez 5.39-1
bluez-libs 5.39-1
bluez-qt 5.21.0-1
bomber 16.04.0-1
boost 1.60.0-4
boost-libs 1.60.0-4
bovo 16.04.0-1
brasero 3.12.1-1
breeze 5.6.3-1
breeze-gtk 5.6.3-1
breeze-icons 5.21.0-1
brial 0.8.4.3-2
bridge-utils 1.5-2
brltty 5.3.1-3
bullet 2.83.7-1
bumblebee 3.2.1-11
bzip2 1.0.6-5
bzr 2.7.0-1
c-ares 1.11.0-1
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.23-3
ca-certificates-utils 20150402-1
cabextract 1.6-1
cairo 1.14.6-1
cairo-perl 1.106-1
cairomm 1.12.0-2
caja 1.12.6-1
calendarsupport 16.04.0-1
cantarell-fonts 1:0.0.24-1
cantor 16.04.0-1
cargo 0.10.0-2
caribou 0.4.20-1
cddb-py 1.4-7
cddlib 094h-2
cdparanoia 10.2-5
cdrdao 1.2.3-8
cdrkit 1.1.11-3
celt 0.11.3-2
celt0.5.1 0.5.1.3-3
ceph 0.94.5-3
cfitsio 3.370-3
cheese 3.20.1-1
chemical-mime-data 0.1.94-7
chmlib 0.40-4
chromaprint 1.3.1-1
chromium 50.0.2661.75-1
cifs-utils 6.5-1
cinnamon 3.0.1-1
cinnamon-control-center 3.0.0-1
cinnamon-desktop 3.0.0-1
cinnamon-menus 3.0.0-1
cinnamon-screensaver 3.0.0-1
cinnamon-session 3.0.0-1
cinnamon-settings-daemon 3.0.0-1
cinnamon-translations 3.0.0-1
cjs 3.0.0-1
clang 3.7.1-1
classpath 0.99-3
cliquer 1.21-1
cln 1.3.4-2
clucene 2.3.3.4-9
clutter 1.26.0-1
clutter-gst 3.0.18-1
clutter-gst2 2.0.18-1
clutter-gtk 1.8.0-1
cmake 3.5.2-1
cmark 0.25.2-1
cogl 1.22.0+11+g81ab4a3-1
colord 1.3.2-1
colord-gtk 0.1.26-2
compositeproto 0.4.2-3
convertlit 1.8-7
coreutils 8.25-1
cracklib 2.9.6-1
cronie 1.5.0-1
cryptsetup 1.7.1-1
ctags 5.8-5
cuneiform 1.1.0-14
cups 2.1.3-1
cups-filters 1.8.3-2
cups-pk-helper 0.2.6-1
curl 7.48.0-1
cysignals 1.1.1-1
cython 0.24-1
cython2 0.24-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.8-1
dbus-glib 0.106-1
dcadec 0.2.0-1
dconf 0.26.0-1
dconf-editor 3.20.1-1
deepin-account-faces 1.0.10-1
deepin-api 3.0.6-1
deepin-artwork-themes 15.12.2-2
deepin-control-center 3.0.10-1
deepin-daemon 3.0.11-3
deepin-dbus-factory 3.0.2-1
deepin-desktop 3.0.6-1
deepin-desktop-base 2016.01.29-1
deepin-desktop-schemas 3.0.3-2
deepin-dock 3.0.7-1
deepin-file-manager 0.1.11-3
deepin-game 2014.2-3
deepin-grub2-themes 1.0.0-2
deepin-gtk-theme 15.12.6-1
deepin-icon-theme 15.12.26-1
deepin-launcher 3.0.7-1
deepin-menu 3.0.2-1
deepin-metacity 3.18.1.11-1
deepin-movie 2.3.0.20151102-1
deepin-music 2.3.0.20150814-1
deepin-mutter 3.18.2.7-1
deepin-nautilus-properties 3.14.3-1
deepin-notifications 2.3.5-1
deepin-qml-widgets 2.3.2-1
deepin-screenshot 3.1.7-1
deepin-session-ui 3.0.9-1
deepin-social-sharing 1.1.2-1
deepin-sound-theme 15.10.0-2
deepin-terminal 1.1.4-1
deepin-wm 1.0.5-1
deepin-wm-switcher 1.0.1-1
deluge 1.3.12-1
desktop-file-utils 0.22-1
dev86 0.16.21-1
devhelp 3.20.0-1
device-mapper 2.02.149-1
devil 1.7.8-21
devtools 20151129-1
dhclient 4.3.4-1
dhcpcd 6.10.2-1
dialog 1:1.3_20160209-1
diffutils 3.3-2
djvulibre 3.5.27-2
dkms 2.2.0.3+git151023-10
dleyna-connector-dbus 0.2.0-2
dleyna-core 0.5.0-1
dleyna-renderer 0.5.0-1
dleyna-server 0.5.0-1
dmidecode 3.0-1
dmxproto 2.3.1-3
dnsmasq 2.75-1
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
docker 1:1.10.3-1
dolphin 16.04.0-1
dolphin-plugins 16.04.0-1
dolphinpart4 16.04.0-1
dosfstools 3.0.28-1
dotconf 1.3-4
dragon 16.04.0-1
dri2proto 2.8-2
dri3proto 1.0-1
drkonqi 5.6.3-1
drumstick 1.0.2-1
dvd+rw-tools 7.1-7
e2fsprogs 1.42.13-1
ebook-tools 0.2.2-3
ebtables 2.0.10_4-6
ecl 16.0.0-1
eclib 20160206-4
eclipse-common 4.5.2-1
eclipse-cpp 4.5.2-1
efibootmgr 0.12-1
efivar 0.21-1
efl 1.17.0-1
elementary 1.17.0-1
elfutils 0.166-1
emacs 24.5-2
empathy 3.12.11-1
enca 1.18-1
enchant 1.6.0-7
eog 3.20.1-1
epiphany 3.20.1-1
espeak 1.48.04-2
evas_generic_loaders 1.17.0-2
eventviews 16.04.0-1
evince 3.20.0-1
evolution 3.20.1-1
evolution-data-server 3.20.1-1
exempi 2.2.2-2
exiv2 0.25-3
exo 0.10.7-1
expac 6-1
expat 2.1.1-1
expect 5.45-4
extra-cmake-modules 5.21.0-1
faac 1.28-5
faad2 2.7-4
faenza-icon-theme 1.3.1-4
fakeroot 1.20.2-1
farstream 0.2.8-1
fcgi 2.4.0-11
ffmpeg 1:3.0.1-1
ffmpeg2.8 2.8.6-1
ffmpegthumbnailer 2.1.1-1
ffmpegthumbs 16.04.0-1
fftw 3.3.4-1
file 5.26-1
file-roller 3.20.1-1
filelight 16.04.0-1
filesystem 2015.09-1
findutils 4.6.0-1
firefox 45.0.2-1
five-or-more 3.20.0-1
fixesproto 5.0-3
flac 1.3.1-3
flashplugin 11.2.202.616-1
flattr-icon-theme 1.3-2
flex 2.6.0-2
flint 2.5.2-8
flintqs 1:1.0-1
fltk 1.3.3-5
fluidsynth 1.1.6-4
folks 0.11.2-1
fontconfig 2.11.95-1
fontsproto 2.1.3-1
foomatic-db 3:20160416-1
foomatic-db-engine 4:4.0.12-2
foomatic-db-gutenprint 5.2.11-3
foomatic-db-gutenprint-ppds 5.2.11-3
four-in-a-row 3.20.0-1
frameworkintegration 5.21.0-1
freeglut 3.0.0-1
freerdp 1:1.2.0_20160107-6
freetype2 2.6.3-1
fribidi 0.19.7-1
fuse 2.9.5-1
gamin 0.1.10-8
gap 4.8.3-2
garcon 0.4.0-1
gawk 4.1.3-1
gc 7.4.2-4
gcc-fortran 5.3.0-5
gcc-libs-multilib 5.3.0-5
gcc-multilib 5.3.0-5
gconf 3.2.6-3
gcr 3.20.0-1
gd 2.1.1-3
gdal 2.0.2-4
gdb 7.11-1
gdbm 1.11-1
gdk-pixbuf2 2.34.0-1
gdl 3.20.0-1
gdm 3.20.1-1
geany 1.27-1
gedit 3.20.1-1
gedit-code-assistance 3.16.0-1
gegl 0.3.6-1
gegl02 0.2.0-4
geoclue2 2.4.3-1
geocode-glib 3.20.1-1
geoip 1.6.6-2
geoip-database 20160301-2
geos 3.5.0-2
gettext 0.19.7-1
gf2x 1.1-2
gfan 0.5-2
gfbgraph 0.2.3-1
ghc 7.10.3-1
ghostscript 9.19-1
giflib 5.1.2-1
gimp 2.8.16-1
git 2.8.0-1
gitg 3.20.0-1
givaro 3.8.0-2
gjs 1.45.3-1
gl2ps 1.3.9-1
glade 3.20.0-1
glew 1.13.0-1
glib-networking 2.48.0-1
glib-perl 1.321-1
glib2 2.48.0-1
glibc 2.23-1
glibmm 2.48.1-1
glpk 4.60-1
glproto 1.4.17-1
glu 9.0.0-4
gmime 2.6.20-2
gmp 6.1.0-3
gmp-ecm 7.0-1
gnome-2048 3.20.1-1
gnome-backgrounds 3.20-1
gnome-bluetooth 3.18.3-1
gnome-builder 3.20.0-1
gnome-calculator 3.20.0-1
gnome-calendar 3.20.1-1
gnome-characters 3.20.1-1
gnome-chess 3.20.0-1
gnome-clocks 3.20.0-1
gnome-code-assistance 3.16.0-4
gnome-color-manager 3.20.0-1
gnome-contacts 3.19.91-1
gnome-control-center 3.20.1-1
gnome-desktop 1:3.20.1-1
gnome-devel-docs 3.20.1-1
gnome-dictionary 3.20.0-1
gnome-disk-utility 3.20.1-1
gnome-documents 3.20.0-1
gnome-font-viewer 3.20.0-1
